병원명,판매처코드,지체여부,요율
정읍한국병원,10077968,True,0.001
희명병원,10032148,True,0.001
연세오케이병원,10050868,True,0.001
아중요양병원,10083322,True,0.001
선한병원,10061894,True,0.001
큰힘병원,10087386,False,
천안우리병원,10050630,True,0.001
더스마트병원,10112509,True,0.001
의료법인명인의료재단 화홍병원(변경),10063044,True,0.001
화순전남대학교병원,10037919,True,0.001
팔팔병원,10045059,True,0.001
예미담요양병원,10092010,True,0.001
나은필병원,10072686,True,0.001
광주21세기병원,10038241,True,0.001
구로성심병원,10033319,True,0.001
일산백병원,10033023,False,
빛가람종합병원,10066681,True,0.001
의료법인서명의료재단 세명병원,10039976,True,0.001
의료법인갑을의료재단 갑을장유병원,10041416,True,0.001
향동포레요양병원,10006922,True,0.001
전남대학교병원,10037916,True,0.001
든든한병원,10042480,True,0.001
우리병원,10039922,True,0.001
(재)아산사회복지재단 (강릉아산병원),10035639,True,0.003
나은필병원,10072686,True,0.001
서울성심병원,10034679,True,0.001
새통영병원,10041259,True,0.001
(의)한국의료재단 순천한국병원,10038511,True,0.001
홍천아산병원,10035528,True,0.003
정읍아산병원,10037742,True,0.003
의료법인라움의료재단세웅병원,10112765,True,0.001
의료법인라움의료재단세웅병원(추가),10112765,True,0.001
동국대학교의료원(경주),10039499,False,
중앙메디컬병원,10087161,False,
의료법인안은의료재단부평세림병원,10032388,True,0.001
대아의료재단한도병원,10033614,False,
서울세계로병원,10070076,True,0.001
올바로병원,10040113,True,0.001
광주기독병원,10038193,True,0.001
KS병원(추가),10038148,True,0.001
성모윌병원(추가),10032311,True,0.001
